id,geom,amenities_500,leisure_500
27255101,"40.62771,-73.96381",3,0
27255632,"40.75562,-73.99539",137,6
27255936,"40.76243,-73.99078",161,4
27256404,"40.70382,-73.91456",50,0
27257149,"40.70713,-73.92918",29,3
27257929,"40.70757,-73.94466",16,6
27257936,"40.7089,-73.94447",19,4
27259887,"40.68571,-73.93868",12,4
27260962,"40.86813,-73.92393",13,4
27260995,"40.69752,-73.93497",10,6
27261168,"40.7562,-73.96796",98,8
27262079,"40.81192,-73.91781",2,9
27262712,"40.80765,-73.95484",44,12
27263672,"40.70562,-73.92734",42,2
27264907,"40.70665,-73.90969",22,2
27264926,"40.74702,-73.82618",5,4
27274799,"40.75579,-73.9652",62,12
27277107,"40.72817,-73.9773",28,14
27277569,"40.75375,-73.96362",28,9
27277843,"40.68593,-73.94628",5,8
27278017,"40.74573,-73.99049",173,6
27279139,"40.70743,-73.92294",35,3
27279410,"40.75974,-73.99016",221,4
27279645,"40.76037,-73.9917",183,4
27279953,"40.75983,-73.99119",200,4
27279982,"40.76629,-73.986",131,7
27280189,"40.75981,-73.99011",222,4
27281341,"40.74324,-73.97224",37,6
27281452,"40.6838,-73.95161",15,3
27281620,"40.71796,-73.957",98,13
27281794,"40.71918,-73.95735",75,11
27282297,"40.71763,-73.95594",99,14
27282364,"40.68511,-73.94948",13,5
27282824,"40.73214,-74.00531",154,22
27283564,"40.70161,-73.90556",58,1
27284500,"40.70296,-73.9056",57,1
6619187,"40.79229,-73.93954",24,5
6619589,"40.64683,-73.95429",5,1
6619797,"40.81287,-73.95186",11,7
6619984,"40.68023,-73.91047",4,6
6620407,"40.69666,-73.93548",7,8
6620911,"40.73391,-73.98552",99,8
6622389,"40.6737,-73.95913",50,2
6625406,"40.71187,-73.96342",63,20
6626581,"40.72699,-73.98694",169,10
6626894,"40.78283,-73.98396",30,6
6627016,"40.71932,-73.95446",81,11
6627254,"40.66526,-73.98449",46,4
6627553,"40.76482,-73.92514",63,1
6627650,"40.79601,-73.93454",21,1
6627668,"40.80133,-73.95251",20,9
6627752,"40.63915,-73.95451",3,0
6627931,"40.69374,-73.96727",38,7
6628117,"40.71681,-73.96141",94,11
6628193,"40.78602,-73.97729",88,6
6628493,"40.70784,-73.94698",23,7
6631351,"40.68606,-73.95832",25,4
6633613,"40.7061,-74.0157",79,15
6635179,"40.71968,-73.98708",147,21
6635985,"40.75529,-73.92961",28,3
6636389,"40.73204,-74.00399",181,21
6636906,"40.81165,-73.95639",29,14
6636968,"40.66205,-73.96301",8,2
6636993,"40.71178,-73.94617",51,6
6637311,"40.74801,-73.98817",206,5
6638042,"40.70054,-73.83781",0,2
6638377,"40.68711,-73.9747",38,9
6638446,"40.84239,-73.93574",6,7
6638539,"40.63314,-74.02896",22,2
6639120,"40.7192,-73.99139",207,18
6642187,"40.76555,-73.95791",49,3
6643716,"40.72299,-73.99344",178,9
6644449,"40.71082,-73.94276",27,3
6644669,"40.77689,-73.98103",49,11
6645224,"40.73783,-73.99383",92,4
6645263,"40.71084,-73.96557",47,17
6645963,"40.79478,-73.93416",15,3
6646009,"40.70569,-73.95329",7,16
6646365,"40.69038,-73.91462",15,3
6647114,"40.73267,-74.00379",169,22
6649555,"40.73592,-74.00492",110,20
6650704,"40.66561,-73.98843",45,3
6651156,"40.68932,-73.99082",66,5
6652170,"40.62787,-73.94276",0,1
6652353,"40.79828,-73.97231",44,7
6652755,"40.6924,-73.96029",20,8
6653095,"40.79052,-73.94364",40,11
6654081,"40.66016,-73.95382",4,1
6654202,"40.74522,-73.97505",87,10
6654304,"40.64372,-73.90361",0,2
6654323,"40.6882,-73.97719",34,7
6654984,"40.67376,-73.98397",74,4
6655786,"40.67904,-73.967",62,5
6656441,"40.68402,-73.96637",34,5
6656567,"40.83155,-73.94804",19,5
6657134,"40.78071,-73.95309",99,2
6657454,"40.69154,-73.95544",21,5
6658870,"40.71018,-73.94988",46,9
6659165,"40.70168,-73.92845",52,4
6659371,"40.70323,-73.92836",56,4
6660046,"40.7123,-73.95401",61,21
6660117,"40.73082,-73.98182",104,11
6660330,"40.73608,-74.00039",116,15
6660373,"40.79131,-73.94344",42,12
6660511,"40.72639,-73.98875",182,13
6660518,"40.70945,-73.83132",11,4
6660816,"40.68657,-73.94072",10,6
6661923,"40.7611,-73.99316",144,5
6662112,"40.79982,-73.95405",9,9
6662241,"40.73857,-73.99787",94,7
6662422,"40.68018,-73.97557",62,5
6662487,"40.82398,-73.94846",18,10
6662511,"40.67679,-73.96502",53,5
6662967,"40.80132,-73.9547",18,9
6669443,"40.71162,-73.94551",49,4
6670191,"40.68356,-73.95851",25,3
6671082,"40.72865,-73.98023",93,13
6672758,"40.73037,-73.98158",103,10
6672812,"40.68385,-73.96748",34,5
6673630,"40.71661,-73.98916",155,22
6673638,"40.6046,-73.97772",2,2
6674155,"40.76832,-73.96118",60,3
6674342,"40.76127,-73.99161",171,4
6674363,"40.73969,-73.99447",109,3
6674482,"40.79435,-73.94071",33,3
6676250,"40.70161,-73.92919",46,4
6676383,"40.68566,-73.95808",23,4
6677647,"40.70621,-73.94903",6,8
6678082,"40.68207,-73.93279",15,5
6678277,"40.74912,-73.98007",174,4
6678351,"40.82875,-73.94574",24,5
6679063,"40.75885,-73.99584",130,5
6680201,"40.75394,-73.80538",0,2
6684189,"40.68542,-73.96103",26,7
6684697,"40.70877,-73.94889",28,7
6685873,"40.69023,-73.98086",37,6
6686140,"40.72227,-73.99526",167,10
6686165,"40.76177,-73.92627",47,0
6686332,"40.69207,-73.92312",2,5
6687933,"40.71748,-73.98364",81,19
6688119,"40.66136,-73.98437",28,4
6688617,"40.71366,-73.94021",25,2
6688780,"40.87495,-73.90982",1,3
6689548,"40.72287,-73.99593",137,8
6690696,"40.68623,-73.96755",40,7
6691625,"40.65766,-73.97927",11,3
6691723,"40.72006,-73.95694",78,9
6692213,"40.78165,-73.94825",84,7
6692573,"40.72354,-73.9819",97,13
6692574,"40.75529,-73.83043",38,10
6692633,"40.67604,-73.96875",61,6
6692975,"40.7465,-73.991",165,6
6693052,"40.6913,-73.92934",4,6
6693403,"40.63485,-73.96208",4,1
6693612,"40.75335,-73.99525",122,7
6698963,"40.7142,-73.99119",134,25
6699725,"40.8198,-73.90341",3,14
6699912,"40.65972,-73.9937",18,3
